#SampleID,Description,Subject,Age,Normal_Diet,Time_Point,Date_of_hunt,Sex,Breed,Sample_Type,Diet,Diet_type,Diet_Category,Diet_Sequence,Amino_Acid_Metabolism,Biosynthesis_of_Other_Secondary_Metabolites,Cancers,Carbohydrate_Metabolism,Cardiovascular_Diseases,Cell_Communication,Cell_Growth_and_Death,Cell_Motility,Cellular_Processes_and_Signaling,Circulatory_System,Digestive_System,Endocrine_System,Energy_Metabolism,Environmental_Adaptation,Enzyme_Families,Excretory_System,Folding_Sorting_and_Degradation,Genetic_Information_Processing,Glycan_Biosynthesis_and_Metabolism,Immune_System,Immune_System_Diseases,Infectious_Diseases,Lipid_Metabolism,Membrane_Transport,Metabolic_Diseases,Metabolism,Metabolism_of_Cofactors_and_Vitamins,Metabolism_of_Other_Amino_Acids,Metabolism_of_Terpenoids_and_Polyketides,Nervous_System,Neurodegenerative_Diseases,Nucleotide_Metabolism,Poorly_Characterized,Replication_and_Repair,Sensory_System,Signal_Transduction,Signaling_Molecules_and_Interaction,Transcription,Translation,Transport_and_Catabolism,Xenobiotics_Biodegradation_and_Metabolism
saAus.K9.183,A.6.17,kindle,4,NA,End_High_Fibre,2011,f,foxhound,individual,b,w/d,High_Fibre,acb,2477555.00,223567.00,23246.00,2759409.00,0.00,0.00,133501.00,333391.00,1003481.00,22.00,4566.00,71476.00,1506781.00,36933.00,559044.00,1633.00,599777.00,680739.00,453061.00,19805.00,13268.00,87905.00,678055.00,3618963.00,24563.00,610954.00,1089289.00,362025.00,399867.00,25872.00,23044.00,1054318.00,1214281.00,2328673.00,0.00,379083.00,49412.00,745836.00,1496721.00,53584.00,471361.00
saAus.K9.184,B.6.20,banker,2,NA,End_Hypoallergenic,2013,m,foxhound,individual,a,z/d,Hypoallergenic,bca,2634862.00,238886.00,25617.00,2955421.00,0.00,0.00,150646.00,448373.00,1084440.00,12.00,7475.00,74112.00,1592090.00,45724.00,567016.00,2589.00,649079.00,733316.00,554386.00,25289.00,13847.00,94738.00,718751.00,3504504.00,26723.00,638303.00,1254097.00,365594.00,433485.00,25744.00,21084.00,1125133.00,1285394.00,2505683.00,0.00,374916.00,43392.00,775427.00,1570340.00,51813.00,444734.00
saAus.K9.186,A.2.9,beauty,7,NA,End_Hypoallergenic,2008,f,foxhound,individual,a,z/d,Hypoallergenic,acb,2231365.00,202399.00,22374.00,2584274.00,1.00,0.00,124307.00,387429.00,944598.00,9.00,4955.00,61908.00,1365357.00,39067.00,486434.00,2327.00,552671.00,628371.00,457410.00,21163.00,12267.00,80459.00,629226.00,3138237.00,22682.00,562565.00,1053367.00,321269.00,367776.00,21303.00,20147.00,944159.00,1114181.00,2094695.00,0.00,341993.00,39578.00,670319.00,1309868.00,43875.00,402737.00
saAus.K9.187,B.0.17,spitster,2,Baseline,Baseline,2013,f,foxhound,individual,c,meat,High_Protein,bca,2159230.00,215365.00,21655.00,2512854.00,2.00,0.00,121148.00,272063.00,938340.00,12.00,7039.00,65137.00,1377089.00,34126.00,492308.00,2416.00,565759.00,599288.00,541838.00,20309.00,14129.00,81200.00,616458.00,2775520.00,20773.00,567387.00,1020569.00,324390.00,366747.00,21434.00,23192.00,960310.00,1101976.00,2101223.00,0.00,348356.00,44758.00,620143.00,1272425.00,61114.00,403289.00
saAus.K9.188,A.6.1,blackprint,10,NA,End_High_Fibre,2005,m,foxhound,individual,b,w/d,High_Fibre,acb,4916165.00,429845.00,47388.00,5348311.00,2.00,0.00,267031.00,594788.00,1905222.00,46.00,10306.00,154972.00,2899378.00,69025.00,1136910.00,3315.00,1188402.00,1383242.00,871195.00,33317.00,28945.00,172856.00,1334450.00,7236349.00,51031.00,1201691.00,2064812.00,755140.00,802392.00,50972.00,51327.00,2153460.00,2397435.00,4777836.00,0.00,753764.00,120077.00,1400693.00,3105277.00,111770.00,1014367.00
saAus.K9.190,B.2.9,gerlert,5,NA,End_High_Fibre,2010,m,foxhound,individual,b,w/d,High_Fibre,bca,2392484.00,221110.00,22475.00,2754646.00,1.00,0.00,132145.00,433904.00,972902.00,9.00,3888.00,64753.00,1431656.00,42293.00,503002.00,1703.00,573422.00,672574.00,466847.00,21713.00,12297.00,82861.00,656540.00,3404869.00,24092.00,584083.00,1128376.00,332425.00,386581.00,23307.00,18427.00,989980.00,1168735.00,2210798.00,0.00,350327.00,40874.00,717934.00,1385110.00,41949.00,411622.00
saAus.K9.191,A.0.12,alphabet,6,Baseline,Baseline,2009,f,foxhound,individual,c,meat,High_Protein,acb,2722440.00,268658.00,22532.00,3267613.00,3.00,0.00,143588.00,387128.00,1217585.00,124.00,7596.00,78015.00,1707251.00,41786.00,623299.00,6051.00,697187.00,775508.00,684627.00,21327.00,14888.00,107038.00,817424.00,3787107.00,26943.00,791207.00,1329173.00,435021.00,473986.00,28418.00,27592.00,1209440.00,1441432.00,2547251.00,0.00,453749.00,60515.00,784870.00,1611897.00,73724.00,581684.00
saAus.K9.193,A.6.8,cybil,7,NA,End_High_Fibre,2008,f,foxhound,individual,b,w/d,High_Fibre,acb,1590844.00,138202.00,19579.00,1789149.00,3.00,0.00,81399.00,351989.00,806130.00,58.00,5523.00,43256.00,992685.00,23311.00,371513.00,2820.00,432806.00,495717.00,426997.00,12998.00,9210.00,85599.00,486500.00,2334676.00,17532.00,445012.00,764930.00,265295.00,278976.00,14718.00,21604.00,694623.00,925205.00,1511383.00,0.00,343143.00,26489.00,486362.00,917803.00,40585.00,316724.00
saAus.K9.194,A.6.20,favour,3,NA,End_High_Fibre,2012,f,foxhound,individual,b,w/d,High_Fibre,acb,2457655.00,217103.00,24218.00,2817021.00,1.00,0.00,136699.00,369073.00,998648.00,29.00,4793.00,61745.00,1455646.00,37564.00,559700.00,2387.00,604783.00,705112.00,470137.00,19295.00,14482.00,96230.00,698379.00,3749315.00,26376.00,622822.00,1055895.00,380105.00,416449.00,24501.00,26411.00,1095384.00,1273852.00,2429426.00,0.00,389663.00,55849.00,756043.00,1563925.00,48843.00,487243.00
saAus.K9.195,A.4.11,nector,6,Washout,Washout,2009,f,foxhound,individual,c,meat,High_Protein,acb,7503849.00,663651.00,69550.00,8537292.00,6.00,0.00,394838.00,1091518.00,3143792.00,93.00,5369.00,178976.00,4603471.00,132440.00,1664881.00,4716.00,1776010.00,2001457.00,1243722.00,67419.00,38313.00,266938.00,2055149.00,10988412.00,69734.00,1889457.00,3475452.00,999299.00,1171875.00,83491.00,59374.00,3097293.00,3617700.00,6920810.00,0.00,1132243.00,117267.00,2468100.00,4299427.00,121779.00,1240075.00
saAus.K9.196,A.0.11,nector,6,Baseline,Baseline,2009,f,foxhound,individual,c,meat,High_Protein,acb,5211152.00,467526.00,47685.00,5769083.00,0.00,0.00,274845.00,701266.00,2267764.00,28.00,9012.00,125427.00,3132352.00,82101.00,1211293.00,7399.00,1297399.00,1456088.00,1008625.00,45375.00,22684.00,197939.00,1484989.00,7089830.00,50443.00,1443388.00,2508448.00,815375.00,838266.00,56934.00,63942.00,2249160.00,2623983.00,4801553.00,0.00,735875.00,116058.00,1576462.00,3110202.00,99820.00,1018401.00
saAus.K9.197,A.4.19,rena,4,Washout,Washout,2011,f,foxhound,individual,c,meat,High_Protein,acb,3787569.00,345719.00,32827.00,4340986.00,1.00,0.00,199160.00,578907.00,1646248.00,87.00,6911.00,97457.00,2301103.00,61701.00,852615.00,6093.00,927948.00,1073222.00,798011.00,30509.00,19047.00,144243.00,1088944.00,5329356.00,36695.00,1043967.00,1828967.00,561901.00,629907.00,40487.00,34210.00,1629488.00,1924970.00,3506126.00,0.00,598530.00,75023.00,1139433.00,2239333.00,76339.00,750154.00
saAus.K9.198,B.0.10,admiral,6,Baseline,Baseline,2009,m,foxhound,individual,c,meat,High_Protein,bca,2819667.00,269781.00,26993.00,3197683.00,2.00,0.00,159248.00,545641.00,1138090.00,12.00,8543.00,80392.00,1687894.00,49140.00,585069.00,3618.00,695245.00,820045.00,676509.00,26032.00,14804.00,103407.00,759999.00,3768522.00,28772.00,695461.00,1387759.00,408185.00,476054.00,26125.00,21554.00,1212153.00,1406267.00,2648650.00,0.00,436416.00,52294.00,766587.00,1654945.00,54041.00,498865.00
saAus.K9.199,B.0.16,bookmaker,2,Baseline,Baseline,2013,m,foxhound,individual,c,meat,High_Protein,bca,1899458.00,188342.00,18667.00,2167390.00,0.00,0.00,106454.00,266361.00,803345.00,7.00,5768.00,54245.00,1167830.00,30323.00,414432.00,2187.00,482274.00,531355.00,471454.00,17160.00,10989.00,69997.00,523046.00,2426789.00,18720.00,475583.00,910537.00,283283.00,317680.00,18348.00,18092.00,826137.00,958022.00,1812238.00,0.00,292170.00,37862.00,527928.00,1115056.00,48586.00,342616.00
saAus.K9.200,A.0.13,hiccup,6,Baseline,Baseline,2009,f,foxhound,individual,c,meat,High_Protein,acb,4393792.00,432500.00,41990.00,5039204.00,4.00,0.00,230071.00,561048.00,1906842.00,757.00,13243.00,139539.00,2768382.00,68293.00,967448.00,7840.00,1133707.00,1167590.00,1101890.00,39604.00,26205.00,160215.00,1267162.00,5247324.00,41655.00,1138875.00,2068257.00,668683.00,722800.00,47270.00,42749.00,1818836.00,2165929.00,3908985.00,0.00,708456.00,94125.00,1192019.00,2453656.00,135036.00,815210.00
saAus.K9.201,A.2.7,ascot,7,NA,End_Hypoallergenic,2008,m,foxhound,individual,a,z/d,Hypoallergenic,acb,4687669.00,429872.00,46961.00,5355703.00,1.00,0.00,263138.00,577449.00,1985030.00,28.00,9005.00,127895.00,2868281.00,76934.00,1043452.00,4680.00,1161584.00,1292578.00,964252.00,43386.00,27975.00,166196.00,1339498.00,6257052.00,45816.00,1196565.00,2188843.00,680723.00,778311.00,46751.00,42903.00,2006955.00,2313218.00,4450877.00,0.00,686970.00,89640.00,1392417.00,2772018.00,96256.00,863561.00
saAus.K9.202,B.6.18,hazard,2,NA,End_Hypoallergenic,2013,m,foxhound,individual,a,z/d,Hypoallergenic,bca,3234013.00,282797.00,32523.00,3588430.00,2.00,0.00,176658.00,423486.00,1318151.00,33.00,4459.00,92422.00,1938650.00,51119.00,745365.00,2896.00,783661.00,901835.00,572651.00,24528.00,19307.00,113409.00,897381.00,4779762.00,32610.00,815250.00,1407998.00,477381.00,526766.00,33817.00,32983.00,1404733.00,1592863.00,3156031.00,0.00,515794.00,72132.00,974921.00,1998536.00,64689.00,635688.00
saAus.K9.203,B.6.5,mansfield,6,NA,End_Hypoallergenic,2009,m,foxhound,individual,a,z/d,Hypoallergenic,bca,3654679.00,335569.00,36359.00,4222933.00,10.00,1.00,196331.00,634394.00,1586973.00,36.00,8906.00,102373.00,2260454.00,62230.00,817102.00,6126.00,906092.00,1021420.00,785190.00,33812.00,19699.00,136007.00,1046662.00,5123657.00,36594.00,955998.00,1708998.00,540152.00,607523.00,35965.00,34987.00,1562751.00,1859064.00,3411301.00,0.00,606676.00,66730.00,1099167.00,2140687.00,80006.00,695592.00
saAus.K9.204,B.4.19,hero,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,bca,3029362.00,273364.00,28156.00,3460216.00,6.00,0.00,155875.00,520601.00,1342552.00,87.00,4169.00,78211.00,1871218.00,50535.00,684749.00,4699.00,739834.00,848203.00,609526.00,25753.00,15959.00,120077.00,879776.00,4422587.00,29034.00,833300.00,1427247.00,438363.00,497249.00,32110.00,29116.00,1287531.00,1553899.00,2805947.00,0.00,526830.00,53867.00,959105.00,1724877.00,59217.00,560490.00
saAus.K9.205,A.6.7,ascot,7,NA,End_High_Fibre,2008,m,foxhound,individual,b,w/d,High_Fibre,acb,4078886.00,363136.00,39471.00,4503754.00,4.00,1.00,218029.00,523759.00,1642167.00,18.00,6018.00,112133.00,2399839.00,60126.00,914680.00,2122.00,962840.00,1121648.00,670972.00,31428.00,20394.00,140556.00,1123026.00,6085950.00,42381.00,1017253.00,1721732.00,621706.00,662243.00,41872.00,43420.00,1722794.00,2019618.00,3856633.00,0.00,601574.00,92162.00,1224650.00,2496124.00,84991.00,804346.00
saAus.K9.206,A.4.22,barman,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,acb,5066959.00,445806.00,44974.00,5665790.00,4.00,0.00,261494.00,953907.00,2159461.00,15.00,6339.00,120831.00,3071388.00,87974.00,1160940.00,8510.00,1221313.00,1425562.00,902745.00,43077.00,22334.00,190244.00,1434045.00,7380210.00,47462.00,1396530.00,2375158.00,746096.00,826375.00,56260.00,48565.00,2154453.00,2558120.00,4668210.00,0.00,784919.00,99899.00,1633507.00,2984448.00,86916.00,945733.00
saAus.K9.207,B.0.4,allaby,6,Baseline,Baseline,2009,f,foxhound,individual,c,meat,High_Protein,bca,596744.00,59635.00,5519.00,681348.00,2.00,0.00,32549.00,93154.00,260061.00,17.00,1911.00,17407.00,367979.00,8957.00,133501.00,1151.00,153311.00,164082.00,150153.00,5114.00,3324.00,22285.00,170328.00,734116.00,5723.00,156405.00,284072.00,91109.00,99632.00,6130.00,5936.00,257739.00,300542.00,561143.00,0.00,93390.00,12046.00,171487.00,346650.00,18170.00,114082.00
saAus.K9.208,B.4.10,admiral,6,Washout,Washout,2009,m,foxhound,individual,c,meat,High_Protein,bca,7023025.00,604779.00,72986.00,7591507.00,14.00,0.00,341184.00,2069803.00,3071955.00,1748.00,8135.00,154728.00,4119275.00,129862.00,1627052.00,14887.00,1708700.00,1990578.00,1209489.00,62842.00,28730.00,293173.00,1995311.00,10066760.00,66954.00,1948965.00,3186951.00,1063116.00,1137595.00,75641.00,87120.00,2932952.00,3620132.00,6406649.00,0.00,1329049.00,144594.00,2271244.00,4039034.00,120172.00,1289633.00
saAus.K9.209,B.6.2,bradman,7,NA,End_Hypoallergenic,2008,m,foxhound,individual,a,z/d,Hypoallergenic,bca,3861224.00,341644.00,34799.00,4438138.00,11.00,0.00,209450.00,671255.00,1574526.00,21.00,6967.00,91699.00,2306275.00,66428.00,840790.00,4337.00,919144.00,1065017.00,704448.00,34582.00,19583.00,142694.00,1067999.00,5652197.00,38674.00,962072.00,1770169.00,543593.00,627138.00,39425.00,32858.00,1644468.00,1917175.00,3624339.00,0.00,588355.00,68016.00,1218428.00,2298745.00,65924.00,685626.00
saAus.K9.210,A.2.8,cybil,7,NA,End_Hypoallergenic,2008,f,foxhound,individual,a,z/d,Hypoallergenic,acb,2602796.00,243357.00,25796.00,2952371.00,1.00,0.00,143577.00,394231.00,1093341.00,11.00,7382.00,76700.00,1623384.00,43695.00,571743.00,3826.00,656258.00,723417.00,608903.00,23771.00,15135.00,93663.00,728874.00,3405712.00,24405.00,662693.00,1240603.00,380390.00,435748.00,25053.00,23042.00,1122887.00,1299425.00,2428258.00,0.00,423591.00,49960.00,728674.00,1532729.00,60514.00,491162.00
saAus.K9.211,B.6.13,halifax,3,NA,End_Hypoallergenic,2012,m,foxhound,individual,a,z/d,Hypoallergenic,bca,2477686.00,207698.00,24800.00,2821973.00,14.00,0.00,125873.00,493043.00,1141525.00,74.00,4606.00,67281.00,1488582.00,42890.00,563213.00,4375.00,618729.00,740323.00,529506.00,19381.00,14681.00,105495.00,752435.00,3663291.00,25323.00,689507.00,1157836.00,387656.00,419439.00,22811.00,26414.00,1046524.00,1324200.00,2291245.00,0.00,472919.00,49548.00,754444.00,1439083.00,50406.00,512248.00
saAus.K9.215,A.4.21,bedlam,2,Washout,Washout,2013,f,foxhound,individual,c,meat,High_Protein,acb,7499742.00,629628.00,69811.00,8299596.00,17.00,0.00,384302.00,1537537.00,3201702.00,42.00,9252.00,168814.00,4521883.00,141109.00,1718993.00,11111.00,1816085.00,2093342.00,1200550.00,66899.00,31674.00,282195.00,2121494.00,10987958.00,72120.00,2079670.00,3493706.00,1101235.00,1217630.00,82823.00,77808.00,3196011.00,3772407.00,6934495.00,0.00,1173597.00,155094.00,2487711.00,4488505.00,122512.00,1370326.00
saAus.K9.216,A.2.13,hiccup,6,NA,End_Hypoallergenic,2009,f,foxhound,individual,a,z/d,Hypoallergenic,acb,2713679.00,253889.00,27279.00,3061708.00,4.00,0.00,150613.00,401474.00,1143118.00,12.00,7999.00,81415.00,1702530.00,45625.00,597852.00,4049.00,689122.00,757745.00,645429.00,25218.00,16017.00,97550.00,760250.00,3482110.00,25513.00,691577.00,1297522.00,396771.00,455583.00,25994.00,24008.00,1174800.00,1354447.00,2545804.00,0.00,445045.00,52556.00,747720.00,1605588.00,63229.00,515254.00
saAus.K9.217,B.6.7,gaffa,5,NA,End_Hypoallergenic,2010,m,foxhound,individual,a,z/d,Hypoallergenic,bca,4055051.00,357034.00,38232.00,4649366.00,1.00,0.00,223351.00,683664.00,1701557.00,10.00,7880.00,107198.00,2465239.00,70878.00,896890.00,4811.00,980701.00,1116430.00,757185.00,38186.00,22540.00,145603.00,1141680.00,5626154.00,39722.00,1011891.00,1899530.00,559340.00,656031.00,41338.00,30602.00,1696188.00,1976073.00,3764946.00,0.00,598446.00,65333.00,1266932.00,2364766.00,73720.00,718600.00
saAus.K9.218,B.2.4,allaby,6,NA,End_High_Fibre,2009,f,foxhound,individual,b,w/d,High_Fibre,bca,5778623.00,549901.00,66260.00,6345551.00,46.00,0.00,336777.00,828407.00,2483389.00,175.00,28106.00,164791.00,3582445.00,91588.00,1302593.00,4765.00,1493903.00,1649712.00,1449688.00,55544.00,29314.00,211367.00,1550944.00,7339498.00,62681.00,1420148.00,2757732.00,879960.00,1001075.00,57446.00,56880.00,2574020.00,2938758.00,5685090.00,0.00,819228.00,113290.00,1636424.00,3580731.00,141177.00,1025025.00
saAus.K9.222,B.2.16,bookmaker,2,NA,End_High_Fibre,2013,m,foxhound,individual,b,w/d,High_Fibre,bca,4201691.00,393590.00,40411.00,4827858.00,0.00,0.00,224819.00,674728.00,1785079.00,6.00,6229.00,110664.00,2588913.00,69261.00,930664.00,4426.00,1017437.00,1168979.00,800713.00,37773.00,20363.00,149490.00,1191137.00,6098719.00,41807.00,1087098.00,1921175.00,614212.00,690702.00,43777.00,37808.00,1760161.00,2126580.00,3897501.00,0.00,642971.00,77599.00,1307174.00,2470948.00,83360.00,774796.00
saAus.K9.223,B.2.5,mansfield,6,NA,End_High_Fibre,2009,m,foxhound,individual,b,w/d,High_Fibre,bca,2067232.00,189681.00,19175.00,2454707.00,1.00,0.00,106855.00,363497.00,905547.00,45.00,2916.00,53491.00,1252800.00,34352.00,462698.00,5411.00,510855.00,617042.00,459252.00,15792.00,11399.00,83804.00,638967.00,2996934.00,20950.00,591982.00,972571.00,336478.00,356629.00,19721.00,21836.00,907459.00,1116544.00,1918941.00,0.00,392712.00,49625.00,592414.00,1221428.00,39469.00,465305.00
saAus.K9.224,B.0.8,nigel,5,Baseline,Baseline,2010,m,foxhound,individual,c,meat,High_Protein,bca,2426803.00,219328.00,21950.00,2762850.00,1.00,0.00,131414.00,343456.00,1064209.00,9.00,4642.00,64807.00,1485223.00,39559.00,553007.00,3944.00,603705.00,683051.00,506972.00,21031.00,11835.00,87717.00,706001.00,3287649.00,23791.00,656584.00,1162092.00,367692.00,399402.00,25062.00,24084.00,1042449.00,1217694.00,2255445.00,0.00,362163.00,49139.00,729212.00,1444523.00,53520.00,479715.00
saAus.K9.225,B.4.5,mansfield,6,Washout,Washout,2009,m,foxhound,individual,c,meat,High_Protein,bca,10023718.00,874579.00,92545.00,11284523.00,4.00,0.00,506734.00,1596319.00,4197803.00,29.00,7851.00,225203.00,6070750.00,173501.00,2240874.00,11456.00,2375918.00,2711370.00,1583969.00,90024.00,40830.00,368069.00,2745927.00,14699033.00,96377.00,2618227.00,4626472.00,1426108.00,1566957.00,113342.00,96824.00,4161720.00,4927109.00,9084119.00,0.00,1500219.00,179878.00,3269693.00,5811813.00,156471.00,1776552.00
saAus.K9.226,B.6.16,bookmaker,2,NA,End_Hypoallergenic,2013,m,foxhound,individual,a,z/d,Hypoallergenic,bca,6564621.00,579420.00,59346.00,7693193.00,4.00,0.00,360439.00,887116.00,2677222.00,42.00,10779.00,172640.00,3991377.00,104646.00,1521818.00,8189.00,1601001.00,1861960.00,1217635.00,49189.00,41183.00,250230.00,1885414.00,10072749.00,68128.00,1710922.00,2928526.00,983443.00,1097869.00,69002.00,60556.00,2928197.00,3350728.00,6407169.00,0.00,1016514.00,143572.00,2053377.00,4084977.00,127360.00,1273057.00
saAus.K9.228,B.6.12,anguish,4,NA,End_Hypoallergenic,2011,f,foxhound,individual,a,z/d,Hypoallergenic,bca,3549258.00,318683.00,34737.00,3997352.00,0.00,0.00,196119.00,499774.00,1516377.00,21.00,7618.00,99206.00,2182183.00,60078.00,788806.00,4618.00,876983.00,979800.00,750823.00,32890.00,21818.00,126675.00,1005257.00,4577956.00,33547.00,891753.00,1691855.00,500799.00,581490.00,34932.00,28005.00,1498171.00,1729248.00,3305208.00,0.00,541276.00,62522.00,1038882.00,2059609.00,72703.00,646885.00
saAus.K9.230,A.4.20,favour,3,Washout,Washout,2012,f,foxhound,individual,c,meat,High_Protein,acb,2080577.00,167863.00,22624.00,2016142.00,3.00,0.00,106679.00,226398.00,909243.00,6.00,1670.00,35205.00,1185259.00,36718.00,503241.00,1108.00,525349.00,607076.00,316284.00,19058.00,5062.00,83558.00,577694.00,2759921.00,20573.00,599896.00,1051359.00,364655.00,310424.00,22588.00,37921.00,908217.00,1062643.00,1877913.00,0.00,234357.00,61046.00,633263.00,1317968.00,22909.00,388277.00
saAus.K9.231,B.0.18,hazard,2,Baseline,Baseline,2013,m,foxhound,individual,c,meat,High_Protein,bca,2624225.00,268201.00,23806.00,3036352.00,0.00,0.00,142373.00,331362.00,1082886.00,4.00,6594.00,76005.00,1640881.00,42063.00,568297.00,3032.00,652530.00,715247.00,625904.00,23263.00,15468.00,93427.00,725562.00,3312296.00,24396.00,656883.00,1250266.00,381020.00,431229.00,26175.00,20994.00,1120090.00,1301770.00,2426349.00,0.00,410424.00,52115.00,725275.00,1493449.00,66098.00,476223.00
saAus.K9.233,A.0.20,favour,3,Baseline,Baseline,2012,f,foxhound,individual,c,meat,High_Protein,acb,3667459.00,332445.00,32987.00,4375230.00,0.00,0.00,206384.00,510165.00,1569266.00,3.00,1496.00,97572.00,2306015.00,65573.00,831189.00,4160.00,894216.00,1025590.00,670654.00,32917.00,24270.00,127200.00,1103645.00,5464348.00,34170.00,1011233.00,1722428.00,506021.00,593994.00,37665.00,38100.00,1599719.00,1814254.00,3558100.00,0.00,577013.00,69475.00,1201403.00,2091244.00,61820.00,643520.00
saAus.K9.235,A.4.14,charcoal,5,Washout,Washout,2010,m,foxhound,individual,c,meat,High_Protein,acb,7373608.00,632146.00,70468.00,8442183.00,88.00,0.00,369365.00,1250523.00,3216114.00,1695.00,10229.00,179678.00,4483872.00,132547.00,1649088.00,9887.00,1792110.00,2025416.00,1320905.00,65753.00,37803.00,282006.00,2137800.00,10752529.00,71243.00,1948267.00,3416659.00,1089189.00,1207977.00,77811.00,73267.00,3034495.00,3729895.00,6631121.00,0.00,1218784.00,128977.00,2379415.00,4222984.00,136767.00,1371598.00
saAus.K9.236,B.2.6,brightly,5,NA,End_High_Fibre,2010,f,foxhound,individual,b,w/d,High_Fibre,bca,6309254.00,607300.00,62354.00,7300531.00,5.00,0.00,343355.00,960778.00,2709034.00,60.00,15003.00,178447.00,3889754.00,99959.00,1387463.00,6561.00,1585137.00,1742086.00,1431549.00,56469.00,35777.00,235867.00,1804368.00,8617046.00,62522.00,1612453.00,2927452.00,941968.00,1043624.00,61316.00,61597.00,2680762.00,3189329.00,5901089.00,0.00,991350.00,116369.00,1862682.00,3668615.00,155355.00,1163733.00
saAus.K9.237,B.0.14,carlton,3,Baseline,Baseline,2012,m,foxhound,individual,c,meat,High_Protein,bca,3024175.00,312307.00,29726.00,3496456.00,6.00,0.00,175469.00,355702.00,1296495.00,9.00,11491.00,93097.00,1911418.00,46347.00,687535.00,3001.00,798882.00,838603.00,803709.00,28796.00,18499.00,114914.00,847634.00,3784840.00,29256.00,773440.00,1450213.00,459099.00,514784.00,29902.00,32199.00,1370953.00,1544582.00,2975935.00,0.00,444665.00,60584.00,871761.00,1798743.00,94146.00,520970.00
saAus.K9.239,A.0.14,charcoal,5,Baseline,Baseline,2010,m,foxhound,individual,c,meat,High_Protein,acb,2217567.00,242388.00,22814.00,2514670.00,0.00,0.00,125373.00,250521.00,967097.00,7.00,11271.00,71453.00,1401731.00,31304.00,488381.00,2590.00,603733.00,604876.00,693020.00,20573.00,14351.00,86531.00,605193.00,2381480.00,21213.00,545249.00,1076138.00,350815.00,382201.00,20637.00,24111.00,992229.00,1135482.00,2145243.00,0.00,346511.00,47313.00,561867.00,1293654.00,83915.00,401222.00
saAus.K9.240,B.0.5,mansfield,6,Baseline,Baseline,2009,m,foxhound,individual,c,meat,High_Protein,bca,4914627.00,479939.00,46968.00,5515706.00,0.00,0.00,272116.00,700517.00,2051612.00,6.00,14240.00,136690.00,3040103.00,80368.00,1072329.00,6394.00,1223084.00,1363903.00,1190637.00,43559.00,26726.00,174610.00,1318659.00,6304201.00,46345.00,1222993.00,2371486.00,709701.00,815394.00,48643.00,42148.00,2137776.00,2451830.00,4654079.00,0.00,759449.00,93960.00,1368486.00,2897174.00,118271.00,870419.00
saAus.K9.241,A.0.3,honest,8,Baseline,Baseline,2007,f,foxhound,individual,c,meat,High_Protein,acb,8129414.00,740262.00,76610.00,9301196.00,2.00,0.00,425607.00,1643335.00,3516869.00,74.00,11493.00,214551.00,4980653.00,139878.00,1850605.00,16389.00,1996404.00,2226419.00,1561837.00,73522.00,42107.00,297443.00,2338913.00,11384321.00,76548.00,2198607.00,3724438.00,1187167.00,1318823.00,84504.00,80322.00,3439508.00,4023298.00,7537426.00,0.00,1377183.00,155656.00,2589580.00,4658464.00,174353.00,1549225.00